                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50508,                 1.6941,                 1.1896,                0.90718,                0.44449,                0.84812,                 0.4887,                 1.6212,                 3.2238,                 1.8715,                0.00042,                0.00042,                0.00042
                      2,                0.25391,                0.81883,                0.99999,                0.40536,                0.36364,                0.30669,                0.08939,                 2.0519,                 3.6217,                 1.8168,             0.00082594,             0.00082594,             0.00082594
                      3,                0.25147,                 0.7281,                0.99601,                0.93216,                0.97727,                0.93665,                 0.7734,                 0.5856,                 1.5533,                0.80366,               0.001197,               0.001197,               0.001197
                      4,                0.26828,                0.67773,                0.99568,                0.78537,                0.63636,                 0.7469,                0.49823,                 1.2919,                 2.4003,                 1.5883,              0.0015333,              0.0015333,              0.0015333
                      5,                0.27851,                0.64031,                 1.0081,                0.10519,                0.29545,                0.05827,                0.01882,                 2.8001,                 3.8264,                 3.5081,              0.0016832,              0.0016832,              0.0016832
                      6,                0.25383,                0.58398,                0.99348,                0.25955,                0.56818,                0.20825,                0.06939,                 1.9603,                 3.9388,                 2.2883,               0.001604,               0.001604,               0.001604
                      7,                0.22671,                0.49862,                0.96778,                0.66538,                0.70455,                0.70351,                0.35128,                 1.0268,                 2.1595,                 1.2832,              0.0015248,              0.0015248,              0.0015248
                      8,                0.22673,                0.50405,                 0.9623,                0.95199,                      1,                0.97413,                0.76818,                0.84204,                 1.5903,                0.80244,              0.0014456,              0.0014456,              0.0014456
                      9,                0.20254,                0.43842,                0.94545,                0.99621,                      1,                  0.995,                 0.9851,                0.28791,                0.89168,                0.38485,              0.0013664,              0.0013664,              0.0013664
                     10,                0.19051,                 0.4548,                0.92923,                0.93494,                      1,                 0.9776,                0.91555,                 0.4923,                0.87347,                0.68266,              0.0012872,              0.0012872,              0.0012872
                     11,                0.18884,                0.39808,                0.93186,                 0.9985,                      1,                  0.995,                0.91975,                0.34298,                0.77371,                0.51083,               0.001208,               0.001208,               0.001208
                     12,                0.18868,                 0.4038,                0.93906,                0.99879,                      1,                  0.995,                  0.995,                0.19895,                0.50319,                0.36836,              0.0011288,              0.0011288,              0.0011288
                     13,                0.16894,                 0.3596,                0.92712,                 0.9678,                0.97727,                0.99137,                0.86436,                0.56467,                0.75065,                0.73109,              0.0010496,              0.0010496,              0.0010496
                     14,                0.16357,                0.35198,                0.94712,                0.99872,                      1,                  0.995,                0.98903,                0.24019,                0.51591,                0.35511,              0.0009704,              0.0009704,              0.0009704
                     15,                0.16171,                0.34751,                0.93786,                0.99882,                      1,                  0.995,                0.99423,                0.25757,                0.56339,                0.39637,              0.0008912,              0.0008912,              0.0008912
                     16,                0.15916,                 0.7403,                0.99758,                0.99885,                      1,                  0.995,                  0.995,                0.18274,                0.82254,                0.22969,               0.000812,               0.000812,               0.000812
                     17,                0.12856,                0.35074,                0.96093,                0.99883,                      1,                  0.995,                  0.995,                0.19061,                 0.8563,                  0.233,              0.0007328,              0.0007328,              0.0007328
                     18,                0.12324,                0.30618,                0.93366,                0.99882,                      1,                  0.995,                  0.995,                0.24013,                0.50691,                0.30204,              0.0006536,              0.0006536,              0.0006536
                     19,                0.09588,                0.25925,                0.92699,                0.99662,                      1,                  0.995,                0.99018,                0.24617,                0.51466,                 0.3286,              0.0005744,              0.0005744,              0.0005744
                     20,                0.08952,                0.25366,                0.94605,                0.99882,                      1,                  0.995,                0.98893,                0.22372,                0.52519,                0.31418,              0.0004952,              0.0004952,              0.0004952
                     21,                0.07777,                0.23186,                0.93164,                0.99885,                      1,                  0.995,                  0.995,                0.20887,                0.45238,                0.29064,               0.000416,               0.000416,               0.000416
                     22,                0.06198,                0.20711,                0.90944,                0.99884,                      1,                  0.995,                  0.995,                0.21709,                0.44829,                0.29251,              0.0003368,              0.0003368,              0.0003368
                     23,                0.05754,                0.19355,                0.91439,                0.99886,                      1,                  0.995,                  0.995,                0.19586,                0.43655,                0.27342,              0.0002576,              0.0002576,              0.0002576
                     24,                0.05188,                0.18432,                0.91713,                0.99885,                      1,                  0.995,                  0.995,                0.17149,                0.42474,                0.25035,              0.0001784,              0.0001784,              0.0001784
                     25,                0.04493,                0.17086,                0.92383,                0.99886,                      1,                  0.995,                  0.995,                0.16527,                0.42031,                0.24185,               9.92e-05,               9.92e-05,               9.92e-05
